,idno,author-country,availability,narrative-perspective,narrator,protagonist-gender,setting-type,protagonist-age,protagonist-social-level,representation,setting-continent,setting-continent_binary,setting-country,setting-country_binary,setting-name,setting-territory,time-period,protagonist-profession,type-end_comp,type-end,keywords-cert,setting-type
ne0274,ne0274,Spain,free,dialogue,second-person,male,big-city,young,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,none,negative,negative,medium,land
ne0275,ne0275,Spain,free,dialogue,second-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Barcelona,Cataluña,contemporary,business owner,positive,positive,medium,land
ne0284,ne0284,Spain,free,autodiegetic,first-person,male,big-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,neutral,neutral,medium,land
ne0285,ne0285,Spain,free,autodiegetic,first-person,male,small-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,Cartagena,Murcia,contemporary,journalist,neutral,neutral,medium,land
ne0286,ne0286,Spain,free,autodiegetic,first-person,male,big-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,neutral,neutral,medium,land
ne0287,ne0287,Spain,free,homodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,politician,partial negative,negative,medium,land
ne0288,ne0288,Spain,free,homodiegetic,third-person,female,rural,child,low,realistic,Europe,Europe,Atarjea,not_Spain,Villaruin,n.av.,contemporary,none,negative,negative,high,land
ne0291,ne0291,Spain,free,heterodiegetic,third-person,male,small-city,child,medium,realistic,Europe,Europe,Spain,Spain,Salamanca,Castilla,modern_times,student,neutral,neutral,medium,land
ne0292,ne0292,Spain,restricted,heterodiegetic,third-person,male,small-city,mature,medium,realistic,Europe,Europe,Spain,Spain,Cartagena,Murcia,contemporary,researcher,neutral,neutral,medium,land
ne0293,ne0293,Spain,restricted,heterodiegetic,third-person,male,rural,adult,low,realistic,Europe,Europe,Spain,Spain,Castelnovo,Castilla,contemporary,none,negative,negative,medium,land
ne0294,ne0294,Spain,free,heterodiegetic,third-person,female,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Valdecines,Asturias,contemporary,none,negative,negative,medium,land
ne0296,ne0296,Spain,free,heterodiegetic,third-person,female,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Robleces,Asturias,contemporary,none,partial positive,positive,medium,land
ne0301,ne0301,Spain,restricted,heterodiegetic,third-person,male,big-city,child,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,adventurer,negative,negative,high,land
ne0302,ne0302,Spain,restricted,heterodiegetic,third-person,female,big-city,young,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,student,neutral,neutral,medium,land
ne0303,ne0303,Spain,restricted,mixed,mixed,female,big-city,young,low,realistic,Europe,Europe,United Kingdom,not_Spain,Londres,Londres,contemporary,?,partial negative,negative,medium,land
ne0304,ne0304,Spain,restricted,autodiegetic,first-person,male,boat,child,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,seaman,positive,positive,medium,sea
ne0305,ne0305,Spain,restricted,homodiegetic,first-person,male,boat,adult,medium,realistic,Europe,Europe,Italy,not_Spain,Roccanera,Campania,contemporary,seaman,negative,negative,medium,sea
ne0306,ne0306,Spain,restricted,autodiegetic,first-person,male,big-city,mature,medium,realistic,Europe,Europe,Spain,Spain,Valencia,Valencia,contemporary,seaman,positive,positive,medium,land
ne0307,ne0307,Spain,restricted,heterodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Vegalora,Asturias,contemporary,?,negative,negative,medium,land
ne0308,ne0308,Spain,restricted,heterodiegetic,first-person,male,rural,young,high,realistic,Europe,Europe,Spain,Spain,Riofrío,Asturias,contemporary,artist,negative,negative,medium,land
ne0309,ne0309,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,artist,negative,negative,medium,land
ne0310,ne0310,Spain,restricted,autodiegetic,first-person,male,big-city,young,medium,realistic,Europe,Europe,Spain,Spain,Sevilla,Andalucía,contemporary,doctor,positive,positive,medium,land
ne0311,ne0311,Spain,restricted,heterodiegetic,third-person,male,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Cádiz,Andalucía,contemporary,worker,negative,negative,medium,land
ne0312,ne0312,Spain,restricted,heterodiegetic,third-person,female,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,?,negative,negative,medium,land
ne0313,ne0313,Spain,restricted,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Peñascosa,Asturias,contemporary,religious,negative,negative,medium,land
ne0314,ne0314,Spain,restricted,heterodiegetic,third-person,female,small-city,adult,high,realistic,Europe,Europe,Spain,Spain,Lancia,Asturias,contemporary,housewife,negative,negative,medium,land
ne0320,ne0320,Spain,restricted,heterodiegetic,third-person,male,rural,child,low,realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,none,negative,negative,high,land
ne0321,ne0321,Spain,free,heterodiegetic,third-person,male,big-city,young,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,negative,negative,medium,land
ne0322,ne0322,Spain,free,heterodiegetic,third-person,male,big-city,young,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,negative,negative,medium,land
ne0323,ne0323,Spain,free,heterodiegetic,third-person,male,big-city,young,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,negative,negative,medium,land
ne0324,ne0324,Spain,free,heterodiegetic,third-person,male,big-city,young,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,negative,negative,medium,land
ne0325,ne0325,Spain,free,heterodiegetic,third-person,female,small-city,adult,high,realistic,Europe,Europe,Spain,Spain,Vetusta,Asturias,contemporary,housewife,negative,negative,medium,land
ne0326,ne0326,Spain,free,heterodiegetic,third-person,female,small-city,adult,high,realistic,Europe,Europe,Spain,Spain,Vetusta,Asturias,contemporary,housewife,partial negative,negative,medium,land
ne0330,ne0330,Spain,free,heterodiegetic,third-person,male,big-city,adult,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,negative,negative,medium,n.av.
ne0333,ne0333,Spain,restricted,heterodiegetic,third-person,male,small-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,military personnel,partical positive,positive,medium,n.av.
ne0334,ne0334,Spain,restricted,heterodiegetic,third-person,female,small-city,young,medium,realistic,Europe,Europe,Germany,not_Spain,Selva Negra,Baden-Würtenberg,contemporary,student,negative,negative,medium,n.av.
ne0345,ne0345,Spain,restricted,homodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Madrid,contemporary,unkwon,negative,negative,medium,n.av.
ne0347,ne0347,Spain,restricted,heterodiegetic,third-person,male,rural,young,high,realistic,Europe,Europe,Spain,Spain,Conjo,unknown,contemporary,lord,negative,negative,medium,n.av.
ne0348,ne0348,Spain,restricted,homodiegetic,first-person,male,rural,young,medium,non-realistic,Europe,Europe,Spain,Spain,Negrimia,Negrimia,contemporary,unkwon,negative,negative,medium,n.av.
